
trp_huwei6_pl|贴 身 副 将 
trp_huwei11|贴 身 乡 勇 
trp_huwei11_pl|贴 身 乡 勇 
trp_huwei12|贴 身 兵 士 
trp_huwei12_pl|贴 身 兵 士 
trp_huwei13|贴 身 伍 长 
trp_huwei13_pl|贴 身 伍 长 
trp_huwei14|贴 身 什 长 
trp_huwei14_pl|贴 身 什 长 
trp_huwei15|贴 身 佰 夫 长 
trp_huwei15_pl|贴 身 佰 夫 长 
trp_huwei16|贴 身 副 将 
trp_huwei16_pl|贴 身 副 将 
trp_gedoujia1|白 袍 格 斗 家 
trp_gedoujia1_pl|白 袍 格 斗 家 
trp_gedoujia2|黄 袍 格 斗 家 
trp_gedoujia2_pl|黄 袍 格 斗 家 
trp_gedoujia3|绿 袍 格 斗 家 
trp_gedoujia3_pl|绿 袍 格 斗 家 
trp_gedoujia4|蓝 袍 格 斗 家 
trp_gedoujia4_pl|蓝 袍 格 斗 家 
trp_gedoujia5|红 袍 格 斗 家 
trp_gedoujia5_pl|红 袍 格 斗 家 
trp_gedoujia6|宗 师 提 名 者
trp_gedoujia6_pl|宗 师 提 名 者 
trp_gedoujia7|宗 师 格 斗 家 
trp_gedoujia7_pl|宗 师 格 斗 家 
trp_tanxianjia|海 外 探 险 者 
trp_tanxianjia_pl|海 外 探 险 者 
trp_tanxianjia2|海 外 探 险 家 
trp_tanxianjia2_pl|海 外 探 险 家 
trp_tanxianjia3|海 外 掠 夺 者 
trp_tanxianjia3_pl|海 外 掠 夺 者 
trp_tanxianjia4|海 外 征 服 者 
trp_tanxianjia4_pl|海 外 征 服 者 
trp_baifashi1|光 明 学 员 
trp_baifashi1_pl|光 明 学 员 
trp_baifashi2|光 明 学 士 
trp_baifashi2_pl|光 明 学 士 
trp_baifashi3|光 明 导 师 
trp_baifashi3_pl|光 明 导 师 
trp_baifashi4|光 明 院 士 
trp_baifashi4_pl|光 明 院 士 
trp_heianqishi1|黑 暗 骑 兵 
trp_heianqishi1_pl|黑 暗 骑 兵 
trp_heianqishi12|黑 暗 骑 兵 
trp_heianqishi12_pl|黑 暗 骑 兵 
trp_heianqishi2|黑 暗 骑 士 
trp_heianqishi2_pl|黑 暗 骑 士 
trp_heianqishi3|黑 暗 领 主 
trp_heianqishi3_pl|黑 暗 领 主 
trp_bandit_leaders_end|bandit leaders end
trp_bandit_leaders_end_pl|bandit leaders end
trp_relative_of_merchant|马 尼 德  
trp_jinglingzuzhang|联 盟 族 长 
trp_sanxiao|三 啸 
trp_tuoke|托 克 
trp_baer|巴 尔 
trp_jinglingzuzhang_pl|联 盟 族 长 
trp_sanxiao_pl|三 啸 
trp_tuoke_pl|托 克 
trp_baer_pl|巴 尔 
trp_diyawangzi_pl|迪 亚 王 子 
trp_diyawangzi|迪 亚 王 子 
trp_tianshi_pl|【 天 使 】 艾 莉 尔 
trp_tianshi|【 天 使 】 艾 莉 尔 
trp_tianshi_pl|【 天 使 】 艾 莉 尔 
trp_tianshi|【 天 使 】 艾 莉 尔 
trp_menggutieqi_pl|蒙 古 西 征 铁 骑 
trp_menggutieqi|蒙 古 西 征 铁 骑 
trp_menggutieqi2_pl|蒙 古 西 征 怯 薛 
trp_menggutieqi2|蒙 古 西 征 怯 薛 
trp_menggujiangling1|铁 木 真 
trp_menggujiangling2|术 赤 
trp_menggujiangling3|蔡 合 台 
trp_menggujiangling4|窝 阔 台 
trp_menggujiangling5|拖 雷 
trp_menggujiangling6|木 华 黎 
trp_menggujiangling7|赤 老 温 
trp_menggujiangling8|博 尔 忽 
trp_menggujiangling9|博 尔 术 
trp_menggujiangling10|哲 别 
trp_menggujiangling11|者 勒 蔑 
trp_menggujiangling12|速 不 台 
trp_menggujiangling13|阿 剌 海 别 
trp_menggujiangling14|忽 必 烈 
trp_menggujiangling15|阔 阔 出 
trp_menggujiangling16|帖 木 格 
trp_haiwaijiangling|赫 德 拉 姆 · 柏 格 斯 统 
trp_haiwaijiangling2|拉 菲 尔 · 卡 斯 特 路 
trp_haiwaijiangling3|格 里 高 利 · 图 鲁 维 
trp_haiwaijiangling4|巴 巴 洛 沙 · 海 雷 丁 
trp_haiwaijiangling5|阿 芝 莎 · 努 连 纳 哈 尔 

trp_yibendao|忍 者 
trp_yibendao_pl|忍 者

trp_niua|暴 君 · T-NA
trp_niuc|暴 君 · T-NC
trp_kafei|秦 国 殿 前 大 将 军 · 君 悦 
trp_kafei3|君 悦 追 随 者  
trp_kafei2|君 悦 亲 卫 
trp_kafei3_pl|君 悦 追 随 者  
trp_kafei2_pl|君 悦 亲 卫 
trp_dongyingwushi|东 瀛 武 士 
trp_dongyingwushi2|东 瀛 精 英 武 士 
trp_dongyingwushi_pl|东 瀛 武 士 
trp_dongyingwushi2_pl|东 瀛 精 英 武 士 
trp_dongyingrenzhe|东 瀛 忍 者
trp_dongyingrenzhe2|东 瀛 上 忍 
trp_dongyingrenzhe_pl|东 瀛 忍 者
trp_dongyingrenzhe2_pl|东 瀛 上 忍 
trp_yeyinwushi|夜 莺 武 士 
trp_yeyinwushi_pl|夜 莺 武 士 
trp_yeyinwushi2|夜 莺 武 士 
trp_yeyinwushi2_pl|夜 莺 武 士 
trp_yeyinwushi3|夜 莺 武 士 
trp_yeyinwushi3_pl|夜 莺 武 士 

trp_baiwuchang|白 无 常 
trp_baiwuchang_pl|白 无 常 
trp_heiwuchang|黑 无 常 
trp_heiwuchang_pl|黑 无 常 
trp_mengpo|孟 婆 
trp_mengpo_pl|孟 婆 
trp_xiejiao1|【 萨 满 圣 女 】 洛 晨 柔 
trp_xiejiao1_pl|【 萨 满 圣 女 】 洛 晨 柔 
trp_xiejiao2|【 萨 满 大 祭 司 】 萨 尔 翼 
trp_xiejiao2_pl|【 萨 满 大 祭 司 】 萨 尔 翼 
trp_xiejiao3|【 萨 满 大 将 军 】 玉 衡 
trp_xiejiao3_pl|【 萨 满 大 将 军 】 玉 衡 
trp_xiejiao4|【 东 氪 金 】 SixSixCCFF
trp_xiejiao4_pl|【 东 氪 金 】 SixSixCCFF
trp_xiejiao5|【 南 炼 铜 】 红 墨 
trp_xiejiao5_pl|【 南 炼 铜 】 红 墨 
trp_xiejiao6|【 西 卖 银 】 征 集 玩 家 
trp_xiejiao6_pl|【 西 卖 银 】 征 集 玩 家 
trp_xiejiao7|【 北 铝 装 】 东 方 敏 杰  
trp_xiejiao7_pl|【 北 铝 装 】 东 方 敏 杰  
trp_xiejiao8|萨 尔 翼 
trp_xiejiao8_pl|萨 尔 翼 
trp_xiejiao9|【 萨 满 大 将 军 】 玉 衡 
trp_xiejiao9_pl|【 萨 满 大 将 军 】 玉 衡 
trp_xiejiao10|【 东 氪 金 】 SixSixCCFF
trp_xiejiao10_pl|【 东 氪 金 】 SixSixCCFF
trp_xiejiao11|【 南 炼 铜 】 红 墨 
trp_xiejiao11_pl|【 南 炼 铜 】 红 墨 
trp_xiejiao12|【 西 卖 银 】 征 集 玩 家 
trp_xiejiao12_pl|【 西 卖 银 】 征 集 玩 家 
trp_xiejiao13|【 北 铝 装 】 东 方 敏 杰  
trp_xiejiao13_pl|【 北 铝 装 】 东 方 敏 杰  
trp_shenpanzhe|萨 满 卫 士 
trp_shenpanzhe_pl|萨 满 卫 士 
trp_shenpanzhe2|萨 满 审 判 者 
trp_shenpanzhe2_pl|萨 满 审 判 者 
trp_shenpanzhe3|萨 满 猎 杀 者 
trp_shenpanzhe3_pl|萨 满 猎 杀 者 
trp_shenpanzhe4|萨 满 射 手 
trp_shenpanzhe4_pl|萨 满 射 手 
trp_shenpanzhe5|萨 满 灵 女 
trp_shenpanzhe5_pl|萨 满 灵 女 
trp_shenpanzhe6|萨 满 战 士  
trp_shenpanzhe6_pl|萨 满 战 士 
trp_gedouguanjun|倪 羽 枫 
trp_gedouguanjun_pl|倪 羽 枫 
trp_xinbaoxiang_1|【萨 哥 斯】
trp_xinbaoxiang_2|【提 哈】
trp_xinbaoxiang_3|【维 鲁 加】
trp_xinbaoxiang_4|【苏 诺】
trp_xinbaoxiang_5|【杰 尔 喀 拉】
trp_xinbaoxiang_6|艾 雷 特 的 储 物 箱 
trp_xinbaoxiang_7|【乌 克 斯 豪 尔】
trp_xinbaoxiang_8|【日 瓦 丁】
trp_xinbaoxiang_9|【库 丹】
trp_xinbaoxiang_10|【图 尔 加】
trp_xinbaoxiang_11|【库 劳】
trp_xinbaoxiang_12|【窝 车 则】
trp_xinbaoxiang_13|【日 瓦 车 则】
trp_xinbaoxiang_14|【哈 尔 玛】
trp_xinbaoxiang_15|【亚 伦】
trp_xinbaoxiang_16|【卡 拉 德 帝 都】
trp_xinbaoxiang_17|【艾 车 莫 尔】
trp_xinbaoxiang_18|【拉 那】
trp_xinbaoxiang_19|【沙 瑞 兹】
trp_xinbaoxiang_20|【都 库 巴】
trp_xinbaoxiang_21|【阿 默 拉 德】
trp_xinbaoxiang_22|【巴 瑞 耶】
trp_relative_of_merchants_end|relative of merchants end
trp_relative_of_merchants_end_pl|relative of merchants end
